pid,ppid,name,exe,username,status,create_time,cpu_percent,memory_rss,num_threads,num_fds,cmdline_len,is_system_path,is_temp_path,platform,exe_sha256
141,2,kworker/7:2-mm_percpu_wq,,root,idle,1780306706.35,0.0,0,1,-1,0,0,0,linux,
175,2,kworker/2:2-events,,root,idle,1780306706.41,0.0,0,1,-1,0,0,0,linux,
185,2,nv_queue,,root,sleeping,1780306706.49,0.0,0,1,-1,0,0,0,linux,
186,2,nv_mem_pool_scrubber_queue,,root,sleeping,1780306706.49,0.0,0,1,-1,0,0,0,linux,
187,2,nv_mem_pool_scrubber_queue,,root,sleeping,1780306706.49,0.0,0,1,-1,0,0,0,linux,
188,2,nv_mem_pool_scrubber_queue,,root,sleeping,1780306706.49,0.0,0,1,-1,0,0,0,linux,
189,2,nv_queue,,root,sleeping,1780306706.49,0.0,0,1,-1,0,0,0,linux,
190,2,nv_open_q,,root,sleeping,1780306706.49,0.0,0,1,-1,0,0,0,linux,
199,2,kworker/R-nvme-wq,,root,idle,1780306706.53,0.0,0,1,-1,0,0,0,linux,
200,2,kworker/R-nvme-reset-wq,,root,idle,1780306706.53,0.0,0,1,-1,0,0,0,linux,
201,2,kworker/R-nvme-delete-wq,,root,idle,1780306706.53,0.0,0,1,-1,0,0,0,linux,
202,2,kworker/R-nvme-auth-wq,,root,idle,1780306706.53,0.0,0,1,-1,0,0,0,linux,
204,2,nvidia-modeset/kthread_q,,root,sleeping,1780306706.56,0.0,0,1,-1,0,0,0,linux,
205,2,nvidia-modeset/deferred_close_kthread_q,,root,sleeping,1780306706.56,0.0,0,1,-1,0,0,0,linux,
210,2,UVM global queue,,root,sleeping,1780306706.6,0.0,0,1,-1,0,0,0,linux,
211,2,UVM deferred release queue,,root,sleeping,1780306706.6,0.0,0,1,-1,0,0,0,linux,
212,2,UVM Tools Event Queue,,root,sleeping,1780306706.6,0.0,0,1,-1,0,0,0,linux,
213,2,irq/152-nvidia,,root,sleeping,1780306707.04,0.0,0,1,-1,0,0,0,linux,
214,2,nvidia,,root,sleeping,1780306707.04,0.0,0,1,-1,0,0,0,linux,
215,2,nv_queue,,root,sleeping,1780306707.04,0.0,0,1,-1,0,0,0,linux,
216,2,kworker/R-ttm,,root,idle,1780306707.04,0.0,0,1,-1,0,0,0,linux,
217,2,kworker/2:1H-i915_cleanup,,root,idle,1780306707.04,0.0,0,1,-1,0,0,0,linux,
221,2,kworker/1:1H-i915_cleanup,,root,idle,1780306707.12,0.0,0,1,-1,0,0,0,linux,
223,2,card2-crtc0,,root,sleeping,1780306707.12,0.0,0,1,-1,0,0,0,linux,
224,2,card2-crtc1,,root,sleeping,1780306707.12,0.0,0,1,-1,0,0,0,linux,
225,2,card2-crtc2,,root,sleeping,1780306707.12,0.0,0,1,-1,0,0,0,linux,
226,2,kworker/6:2-events,,root,idle,1780306707.15,0.0,0,1,-1,0,0,0,linux,
227,2,kworker/5:1H-i915_cleanup,,root,idle,1780306707.16,0.0,0,1,-1,0,0,0,linux,
235,2,kworker/4:1H-kblockd,,root,idle,1780306707.28,0.0,0,1,-1,0,0,0,linux,
237,2,jbd2/nvme0n1p1-8,,root,sleeping,1780306707.35,0.0,0,1,-1,0,0,0,linux,
238,2,kworker/R-ext4-rsv-conversion,,root,idle,1780306707.35,0.0,0,1,-1,0,0,0,linux,
240,2,kworker/7:1H-i915_cleanup,,root,idle,1780306707.39,0.0,0,1,-1,0,0,0,linux,
252,2,kworker/0:1H-i915_cleanup,,root,idle,1780306708.28,0.0,0,1,-1,0,0,0,linux,
283,2,psimon,,root,sleeping,1780306709.3,0.0,0,1,-1,0,0,0,linux,
293,1,systemd-journald,/usr/lib/systemd/systemd-journald,root,sleeping,1780306709.34,0.0,14016512,1,-1,33,1,0,linux,c17af8bcfa381f36100a219d11a7f20d38841f56fae5b027a9ce52df6b624e29
294,2,kworker/6:1H-i915_cleanup,,root,idle,1780306709.34,0.0,0,1,-1,0,0,0,linux,
323,1,systemd-userdbd,/usr/lib/systemd/systemd-userdbd,root,sleeping,1780306709.37,0.0,6336512,1,-1,32,1,0,linux,b08d85c4c33ffe6843cdd295a3b153e5898b9dd3e8ef62dd626753d60486e2e8
326,2,kworker/3:1H-kblockd,,root,idle,1780306709.38,0.0,0,1,-1,0,0,0,linux,
339,2,kworker/7:3-mm_percpu_wq,,root,idle,1780306709.41,0.0,0,1,-1,0,0,0,linux,
409,2,psimon,,root,sleeping,1780306710.34,0.0,0,1,-1,0,0,0,linux,
412,1,systemd-resolved,/usr/lib/systemd/systemd-resolved,systemd-resolve,sleeping,1780306710.36,0.0,14532608,1,-1,33,1,0,linux,f22cf47fd777784ee6d0f0212b0fe74b9c8a36198d6a7ddb4575e7b6cd6943b1
413,1,systemd-timesyncd,/usr/lib/systemd/systemd-timesyncd,systemd-timesync,sleeping,1780306710.37,0.0,8425472,2,-1,34,1,0,linux,5f3f859e68fe2ee414bc5bc9f1c67d12a5457d6a3c93fa4cd614ec08baa169c2
